codine,mun,indemnizaciones,indemnum,indemtxt,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29067,Málaga,"3919919,7",391991971,"3.919.919,7",,,,,,"713,9",,,"250928,84","6474,16",,,"6574,39",,,"5691,33","1472,32","6882320,02",,,,,,"28872,13"
29069,Marbella,"2698992,7",269899266,"2.698.992,7",,,28470,,,,,,"184075,9","1626,04",,"25960,49","24215,94","2070,72",,,,"825843,2",,,,"13996,62",,"239825,84"
29070,Mijas,"1409023,5",140902350,"1.409.023,5","401368,54",,,,,,"17489,66",,"8702,96","143759,05","31972,93","163300,45","580,55",,,"269,35","124642,89","10660820,99","430,93","422747,96",,"540,53",,"13043,12"
29051,Estepona,"1056781,6",105678155,"1.056.781,6",,,,,,,,,"109194,63","54498,12",,,,,,,"8333,75","95080,17",,"447,41",,,,"22969,83"
29082,Rincón de la Victoria,"992067,3",99206727,"992.067,3",,,,"147397,18",,,,,,,5211,"33155,48",,,,,,,,,,,,"598501,52"
29032,Campillos,"499569,6",49956958,"499.569,6",,,,,,,,,"2018,4",,,,,,,,,"113486,97",,"4193,74",,,,
29068,Manilva,"488883,5",48888347,"488.883,5",1671,,70155,"20153,16",,,"21834,78","63438,12","2705,04","15678,91","18639,4","1919777,38",,,,"45875,15","16072,45","4110350,25","4607,86",,,,,"2100347,72"
29023,Benahavís,"465982,7",46598270,"465.982,7",,,,,,,,,"45481,99","9448,74",,"8140,84","1472,9",,,"2573,26","72297,95","1632257,87",,"105084,5",,,,"175061,92"
29007,Alhaurín de la Torre,"461269,6",46126956,"461.269,6",,,69,,,,"24405,48","80027,53","2909,92","5246,78","1583,95","1671074,17","76848,19",,,,,"3319,03","273199,19",,,,,
29012,Álora,"350471,1",35047111,"350.471,1","5360156,8","7325,34",9711,"17718332,54","14.450,8","64.933,6","12998,27","43470,1","4359,16","149936,66",,"49964,22",,"333,46","4308,38","11219,64","16491,71","56499,44","90580,15","9546,43","118145,68","8666,65",,"58185,02"
