codine,mun,siniestros,siniestrosnum,siniestrostxt,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29067,Málaga,"419,9",41992,"419,9",,,,,,"2,0",,,2,2,,,2,,,2,2,22,,,,,,2
29069,Marbella,"260,2",26017,"260,2",,,2,,,,,,14,2,,2,2,2,,,,53,,,,2,,8
29082,Rincón de la Victoria,"130,6",13058,"130,6",72,,,,,,2,,2,2,2,17,2,,,2,18,1808,2,2,,2,,2
29070,Mijas,"126,0",12596,"126,0",,,,,,,,,2,2,,,,,,,2,2,,2,,,,2
29051,Estepona,"123,6",12363,"123,6",,,,"10,0",,,,,,,2,7,,,,,,,,,,,,40
29032,Campillos,"80,6",8058,"80,6",,,,,,,,,2,,,,,,,,,7,,2,,,,
29007,Alhaurín de la Torre,"67,1",6713,"67,1",2,,14,"2,0",,,2,2,2,2,2,122,,,,18,2,2,2,,,,,173
29068,Manilva,"51,0",5104,"51,0",,,,,,,,,2,2,,2,2,,,2,2,90,,15,,,,11
29901,Torremolinos,"49,5",4950,"49,5",,,2,,,,2,18,2,2,2,242,21,,,,,2,45,,,,,
29054,Fuengirola,"43,6",4363,"43,6",889,2,2,"2.092,0",2,"11,0",6,2,2,35,,10,,2,2,6,2,10,26,7,2,2,,22
29025,Benalmádena,"34,5",3446,"34,5",,,,"2,0",,,2,,,2,,61,,,,,,,,,,,,12
29084,Ronda,"33,9",3392,"33,9",,,,,,,,,6,2,,,,,,,,17,,,,2,,19
29015,Antequera,"29,7",2967,"29,7",67,,,,,,10,,2,2,,13,,2,,,2,42,2,,,,9,
29008,Alhaurín el Grande,"28,1",2808,"28,1",,,,,,,,,17,2,,,2,,,2,,55,,,,2,,2
29038,Cártama,"25,8",2575,"25,8",,,2,,,,,,,2,,,,,2,,2,59,,2,,2,,9
29041,Casares,"25,0",2496,"25,0",,,2,,,"2,0",115,6,2,35,,2,2,,10,351,2,59,,,,2,,2
29042,Coín,"20,7",2071,"20,7",,,2,"2,0",,"2,0",,,2,,,,,,,2,,65,7,2,2,,,8
29094,Vélez-Málaga,"20,2",2021,"20,2",2,,2,,,,,,2,2,,6,,,,2,,2,,10,,,,35
29075,Nerja,"20,0",2000,"20,0",2,,19,"30,0",,"2,0",,,,39,36,55,2,,,197,2,16,29,68,2,,,121
29012,Álora,"14,8",1475,"14,8",,,2,,,"2,0",,,2,2,,2,,,2,,,2,,,,,,
29097,Villanueva del Trabuco,"14,1",1408,"14,1",,,,,,"11,0",62,7,10,144,2,7,,,15,940,7,10,,,6,2,,
29023,Benahavís,"13,7",1371,"13,7",,,,"2,0",,"2,0",,,2,7,,2,,,,,,2,2,,,,,8
